00:01, 0;
02:12, 8;
02:27, 9;
02:42, 10;
02:56, 11;
03:11, 12;
03:25, 13;
03:32, 14;
03:52, 15;
04:03, 16;
04:10, 17;
04:20, 18;
04:30, 19;
04:44, 20;
05:10, 22;
05:25, 23;
05:41, 24;
05:55, 25;
06:09, 26;
06:23, 27;
06:37, 28;
06:52, 29;
07:12, 30;
07:30, 31;
07:48, 32;
08:05, 33;
08:21, 34;
08:35, 35;
08:48, 36;
09:12, 37;
09:31, 38;
09:48, 39;
10:10, 40;
10:26, 41;
10:37, 42;
11:06, 45;
11:26, 47;
11:36, 49;
11:54, 50;
12:23, 53;
12:31, 54;
13:07, 58;
13:21, 59;
13:27, 60;
13:41, 61;
13:45, 62;
14:27, 66;
